Applicant Id,Applicant Name,UID,CGPA,GRE,TOEFL,IELTS,Course Name,R_ID,Universities Applied,Degree_ID,CID,Status_ID
10001,Dorothy,100345,9.65,337,118,7.5,Data Science,RP-1,4,DL1,CU1,S-1
10001,Dorothy,100597,9.65,337,118,7.5,Data Science,RP-1,4,DL1,CU2,S-1
10001,Dorothy,100957,9.65,337,118,7.5,Data Science,RP-1,4,DL1,CU3,S-1
10001,Dorothy,1001114,9.65,337,118,7.5,Data Science,RP-1,4,DL1,CU4,S-2
10002,Betty,1001121,8.87,324,107,6.5,Data Science,RP-1,4,DL2,CU5,S-2
10002,Betty,100446,8.87,324,107,6.5,Data Science,RP-1,4,DL2,CU6,S-2
10002,Betty,100943,8.87,324,107,6.5,Data Science,RP-1,4,DL2,CU7,S-1
10002,Betty,1001131,8.87,324,107,6.5,Data Science,RP-1,4,DL2,CU8,S-2
10003,Helen,100441,8,316,104,9,Marketing Management,RP-1,3,DL3,CU9,S-1
10003,Helen,1001211,8,316,104,9,Marketing Management,RP-1,3,DL3,CU10,S-2
10003,Helen,100876,8,316,104,9,Marketing Management,RP-1,3,DL3,CU11,S-2
10004,Margaret,100279,8.67,322,110,8,International Business,RP-1,3,DL3,CU12,S-2
10004,Margaret,100729,8.67,322,110,8,International Business,RP-1,3,DL3,CU13,S-2
10004,Margaret,100183,8.67,322,110,8,International Business,RP-1,3,DL3,CU14,S-1
10005,Ruth,100539,8.21,314,103,7.5,Economics for Business,RP-2,2,DL3,CU15,S-2
10005,Ruth,1001014,8.21,314,103,7.5,Economics for Business,RP-2,2,DL3,CU16,S-2
10006,Doris,100956,9.34,330,115,8,Computer Science,RP-1,5,DL2,CU17,S-1
10006,Doris,100597,9.34,330,115,8,Computer Science,RP-1,5,DL2,CU2,S-2
10006,Doris,100280,9.34,330,115,8,Computer Science,RP-1,5,DL2,CU18,S-1
10006,Doris,1001283,9.34,330,115,8,Computer Science,RP-1,5,DL2,CU19,S-1
10006,Doris,10079,9.34,330,115,8,Computer Science,RP-1,5,DL2,CU20,S-2
10007,Virginia,100833,8.2,321,109,7,Aerospace Engineering,RP-1,3,DL1,CU11,S-1
10007,Virginia,1001093,8.2,321,109,7,Aerospace Engineering,RP-1,3,DL1,CU21,S-2
10007,Virginia,1001260,8.2,321,109,7,Aerospace Engineering,RP-1,3,DL1,CU22,S-1
10008,Shirley,100818,7.9,308,101,8.5,Aerospace Engineering,RP-2,2,DL1,CU7,S-1
10008,Shirley,100843,7.9,308,101,8.5,Aerospace Engineering,RP-2,2,DL1,CU23,S-2
10009,Barbara,1001272,8,302,102,8.5,Leadership and Management,RP-2,1,DL3,CU24,S-1
100010,Mildred,100355,8.6,323,108,6.5,Marketing Management,RP-2,3,DL3,CU12,S-1
100010,Mildred,1001068,8.6,323,108,6.5,Marketing Management,RP-2,3,DL3,CU25,S-1
100010,Mildred,100494,8.6,323,108,6.5,Marketing Management,RP-2,3,DL3,CU26,S-2
100011,Frances,1001046,8.4,325,106,8,Finance,RP-1,3,DL2,CU27,S-1
100011,Frances,1001064,8.4,325,106,8,Finance,RP-1,3,DL2,CU28,S-1
100011,Frances,100436,8.4,325,106,8,Finance,RP-1,3,DL2,CU29,S-2
100012,Elizabeth,100924,9,327,111,7.5,Anthropology,RP-1,4,DL2,CU30,S-1
100012,Elizabeth,100157,9,327,111,7.5,Anthropology,RP-1,4,DL2,CU31,S-1
100012,Elizabeth,1001300,9,327,111,7.5,Anthropology,RP-1,4,DL2,CU6,S-1
100012,Elizabeth,100631,9,327,111,7.5,Anthropology,RP-1,4,DL2,CU32,S-1
100013,Jean,1001209,9.1,328,112,9,Economics for Business,RP-1,4,DL3,CU33,S-1
100013,Jean,100658,9.1,328,112,9,Economics for Business,RP-1,4,DL3,CU34,S-2
100013,Jean,100889,9.1,328,112,9,Economics for Business,RP-1,4,DL3,CU21,S-2
100013,Jean,1001104,9.1,328,112,9,Economics for Business,RP-1,4,DL3,CU35,S-1
100014,Evelyn,100956,8,307,109,6.5,Corporate Finance,RP-1,3,DL3,CU17,S-2
100014,Evelyn,100957,8,307,109,6.5,Corporate Finance,RP-1,3,DL3,CU3,S-2
100014,Evelyn,100949,8,307,109,6.5,Corporate Finance,RP-1,3,DL3,CU35,S-1
100015,Anna,100571,8.2,311,104,6,Data Science,RP-1,3,DL1,CU6,S-2
