Applicant Id,Applicant Name,CGPA,GRE,TOEFL,IELTS,Research,Degree_ID,Universities Applied,CID
10001,Dorothy,9.65,337,118,7.5,1,DL1,4,CU1
10002,Betty,8.87,324,107,8.5,1,DL2,4,CU2
10003,Helen,8,316,104,6,1,DL1,3,CU3
10004,Margaret,8.67,322,110,9,1,DL3,3,CU4
10005,Ruth,8.21,314,103,8,0,DL1,2,CU5
10006,Doris,9.34,330,115,8,1,DL2,5,CU6
10007,Virginia,8.2,321,109,9,1,DL2,3,CU7
10008,Shirley,7.9,308,101,8,0,DL2,2,CU8
10009,Barbara,8,302,102,7,0,DL2,1,CU9
100010,Mildred,8.6,323,108,7,0,DL1,3,CU10
100011,Frances,8.4,325,106,9,1,DL3,3,CU11
100012,Elizabeth,9,327,111,6.5,1,DL2,4,CU12
100013,Jean,9.1,328,112,6.5,1,DL2,4,CU13
100014,Evelyn,8,307,109,6,1,DL2,3,CU9
100015,Anna,8.2,311,104,8,1,DL3,3,CU14
100016,Alice,8.3,314,105,7,0,DL3,3,CU15
100017,Patricia,8.7,317,107,8.5,0,DL2,3,CU16
100018,Lois,8,319,106,9,1,DL3,3,CU17
100019,Marie,8.8,318,110,8,0,DL3,3,CU13
100020,Irene,8.5,303,102,8,0,DL2,3,CU18
100021,Gloria,7.9,312,107,7,1,DL3,3,CU18
100022,Rose,8.4,325,114,8.5,0,DL2,4,CU19
100023,Martha,9.5,328,116,6,1,DL2,5,CU20
100024,Marjorie,9.7,334,119,9,1,DL1,5,CU21
100025,Norma,9.8,336,119,8.5,1,DL3,5,CU22
100026,Louise,9.6,340,120,6.5,1,DL2,5,CU23
100027,Florence,8.8,322,109,8.5,0,DL3,5,CU24
100028,Phyllis,7.5,298,98,8,1,DL3,2,CU25
100029,Ruby,7.2,295,93,7.5,0,DL1,1,CU25
100030,Catherine,7.3,310,99,6.5,0,DL2,2,CU26
100031,Lillian,8.1,300,97,7.5,1,DL3,2,CU27
100032,Eleanor,8.3,327,103,7,1,DL3,3,CU7
100033,Dolores,9.4,338,118,6,1,DL2,4,CU7
100034,Joyce,9.6,340,114,7.5,1,DL2,5,CU28
100035,Annie,9.8,331,112,8.5,1,DL3,5,CU2
100036,Gladys,9.2,320,110,6,1,DL1,5,CU29
100037,Thelma,8.4,299,106,6,0,DL1,2,CU30
100038,Josephine,7.8,300,105,8,0,DL2,1,CU8
100039,Edna,7.5,304,105,7.5,0,DL1,1,CU31
100040,Joan,7.7,307,108,6.5,0,DL1,2,CU32
100041,Pauline,8,308,110,9,1,DL1,3,CU33
100042,June,8.2,316,105,8.5,1,DL1,2,CU34
100043,Lorraine,8.5,313,107,7.5,1,DL3,2,CU35
100044,Lucille,9.1,332,117,8,0,DL2,4,CU9
100045,Marilyn,9.4,326,113,6.5,1,DL2,5,CU33
100046,Ethel,9.1,322,110,8,1,DL3,5,CU36
100047,Edith,9.3,329,114,6,1,DL1,5,CU26
100048,Bernice,9.7,339,119,7.5,0,DL1,5,CU37
100049,Grace,8.85,321,110,6,1,DL2,3,CU38
100050,Marion,8.4,327,111,7.5,1,DL2,4,CU39
100051,Theresa,8.3,313,98,9,1,DL1,3,CU40
100052,Hazel,7.9,312,100,9,1,DL3,2,CU16
100053,Rita,8,334,116,8.5,1,DL1,4,CU7
100054,Juanita,8.1,324,112,9,1,DL3,4,CU32
100055,Nancy,8,322,110,6,0,DL1,3,CU17
